id,I34
SCCs,18
m,9
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,2,465,150,10,180,270
2,2,375,300,10,180,340
3,2,300,345,10,180,365
4,1,495,90,10,180,300
5,3,435,240,10,180,270
6,2,225,450,10,180,420
7,3,285,630,10,180,398
8,2,345,330,10,180,355
9,2,210,150,10,180,270
10,2,15,1320,10,180,1020
11,2,345,450,10,180,420
12,2,165,690,10,180,540
13,1,555,90,10,180,300
14,1,675,90,10,180,300
15,2,345,450,10,180,420
16,6,420,750,10,180,308
17,2,525,120,10,180,255
18,2,315,360,10,180,375
TravelTime Matrix
i,j,time
17,12,49
17,13,35
17,14,66
17,15,51
17,16,39
17,17,0
17,18,34
18,0,13
18,1,67
18,2,6
18,3,18
18,4,35
18,5,51
18,6,14
18,7,15
18,8,4
18,9,80
18,10,14
18,11,64
18,12,67
18,13,0
18,14,51
18,15,34
18,16,38
18,17,34
18,18,0
Distance Matrix
i,j,Distance
0,0,0
0,1,64.83
0,2,3.36
0,3,15.71
0,4,44.02
0,5,46.5
0,6,6.45
0,7,2.67
0,8,5.06
0,9,90.3
0,10,0.24
0,11,60.46
0,12,78.41
0,13,5.04
0,14,68.2
0,15,43.64
0,16,35.5
0,17,24.92
0,18,5.04
1,0,64.83
1,1,0
1,2,80.97
1,3,90.23
1,4,122.01
1,5,19.62
1,6,76.31
1,7,74.47
1,8,91.33
1,9,22.77
1,10,78.02
1,11,26.04
1,12,4.35
1,13,90.13
1,14,146.48
1,15,65.65
1,16,103.03
1,17,50.2
1,18,90.13
2,0,3.36
2,1,80.97
2,2,0
2,3,21.27
2,4,46.27
2,5,61.3
2,6,7.92
2,7,8.35
2,8,3.98
2,9,106.47
2,10,3.46
2,11,78.4
2,12,89.75
2,13,3.18
2,14,77.9
2,15,49.26
2,16,47.03
2,17,33.43
2,18,3.18
3,0,15.71
3,1,90.23
3,2,21.27
3,3,0
3,4,38.51
3,5,70.7
3,6,17.66
3,7,25.93
3,8,12.63
3,9,115.87
3,10,21.9
3,11,74.9
3,12,99.15
3,13,12.67
3,14,62.96
3,15,32.64
3,16,54.14
3,17,42.85
3,18,12.67
4,0,44.02
4,1,122.01
4,2,46.27
4,3,38.51
4,4,0
4,5,103.15
4,6,50.09
4,7,58.36
4,8,45.68
4,9,148.32
4,10,54.32
4,11,120.2
4,12,131.6
4,13,45.72
4,14,28.69
4,15,55.4
4,16,86.57
4,17,75.28
4,18,45.72
5,0,46.5
5,1,19.62
5,2,61.3
5,3,70.7
5,4,103.15
5,5,0
5,6,56.55
5,7,54.72
5,8,71.58
5,9,41.82
5,10,58.27
5,11,34.44
5,12,23.96
5,13,70.38
5,14,126.73
5,15,46.03
5,16,83.28
5,17,30.45
5,18,70.38
6,0,6.45
6,1,76.31
6,2,7.92
6,3,17.66
6,4,50.09
6,5,56.55
6,6,0
6,7,7.85
6,8,7.88
6,9,103.22
6,10,8.3
6,11,75.15
6,12,86.49
6,13,7.93
6,14,76.45
6,15,48.2
6,16,41.46
6,17,30.18
6,18,7.93
7,0,2.67
7,1,74.47
7,2,8.35
7,3,25.93
7,4,58.36
7,5,54.72
7,6,7.85
7,7,0
7,8,10.48
7,9,100.18
7,10,3.55
7,11,72.1
7,12,83.46
7,13,9.68
7,14,81.68
7,15,53.43
7,16,38.8
7,17,27.15
7,18,9.68
8,0,5.06
8,1,91.33
8,2,3.98
8,3,12.63
8,4,45.68
8,5,71.58
8,6,7.88
8,7,10.48
8,8,0
8,9,109.04
8,10,6.02
8,11,80.97
8,12,92.31
8,13,0.96
8,14,71.35
8,15,42.68
8,16,48.73
8,17,35.99
8,18,0.96
9,0,90.3
9,1,22.77
9,2,106.47
9,3,115.87
9,4,148.32
9,5,41.82
9,6,103.22
9,7,100.18
9,8,109.04
9,9,0
9,10,103
9,11,40.92
9,12,16.85
9,13,115.12
9,14,171.46
9,15,87.36
9,16,128.01
9,17,72.46
9,18,115.12
10,0,0.24
10,1,78.02
10,2,3.46
10,3,21.9
10,4,54.32
10,5,58.27
10,6,8.3
10,7,3.55
10,8,6.02
10,9,103
10,10,0
10,11,74.94
10,12,86.28
10,13,7.77
10,14,79.78
10,15,51.54
10,16,41.62
10,17,29.97
10,18,7.77
11,0,60.46
11,1,26.04
11,2,78.4
11,3,74.9
11,4,120.2
11,5,34.44
11,6,75.15
11,7,72.1
11,8,80.97
11,9,40.92
11,10,74.94
11,11,0
11,12,24.05
11,13,88.87
11,14,96.61
11,15,38.65
11,16,101.77
11,17,64.74
11,18,88.87
12,0,78.41
12,1,4.35
12,2,89.75
12,3,99.15
12,4,131.6
12,5,23.96
12,6,86.49
12,7,83.46
12,8,92.31
12,9,16.85
12,10,86.28
12,11,24.05
12,12,0
12,13,98.37
12,14,154.71
12,15,70.61
12,16,111.27
12,17,54.54
12,18,98.37
13,0,5.04
13,1,90.13
13,2,3.18
13,3,12.67
13,4,45.72
13,5,70.38
13,6,7.93
13,7,9.68
13,8,0.96
13,9,115.12
13,10,7.77
13,11,88.87
13,12,98.37
13,13,0
13,14,70.59
13,15,41.92
13,16,48.82
13,17,36.09
13,18,0
14,0,68.2
14,1,146.48
14,2,77.9
14,3,62.96
14,4,28.69
14,5,126.73
14,6,76.45
14,7,81.68
14,8,71.35
14,9,171.46
14,10,79.78
14,11,96.61
14,12,154.71
14,13,70.59
14,14,0
14,15,58.47
14,16,110.62
14,17,99.34
14,18,69.78
15,0,43.64
15,1,65.65
15,2,49.26
15,3,32.64
15,4,55.4
15,5,46.03
15,6,48.2
15,7,53.43
15,8,42.68
15,9,87.36
15,10,51.54
15,11,38.65
15,12,70.61
15,13,41.92
15,14,58.47
15,15,0
15,16,84.15
15,17,55.22
15,18,42.93
16,0,35.5
16,1,103.03
16,2,47.03
16,3,54.14
16,4,86.57
16,5,83.28
16,6,41.46
16,7,38.8
16,8,48.73
16,9,128.01
16,10,41.62
16,11,101.77
16,12,111.27
16,13,48.82
16,14,110.62
16,15,84.15
16,16,0
16,17,47.32
16,18,50.17
17,0,24.92
17,1,50.2
17,2,33.43
17,3,42.85
17,4,75.28
17,5,30.45
17,6,30.18
17,7,27.15
17,8,35.99
17,9,72.46
17,10,29.97
17,11,64.74
17,12,54.54
17,13,36.09
17,14,99.34
17,15,55.22
17,16,47.32
17,17,0
17,18,44.15
18,0,5.04
18,1,90.13
18,2,3.18
18,3,12.67
18,4,45.72
18,5,70.38
18,6,7.93
18,7,9.68
18,8,0.96
18,9,115.12
18,10,7.77
18,11,88.87
18,12,98.37
18,13,0
18,14,69.78
18,15,42.93
18,16,50.17
18,17,44.15
18,18,0
