id,I38
SCCs,17
m,5
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,4,480,450,10,180,297
2,2,435,270,10,180,330
3,4,480,420,10,180,290
4,3,405,480,10,180,345
5,4,510,480,10,180,305
6,4,465,495,10,180,310
7,3,465,420,10,180,330
8,1,630,90,10,180,300
9,3,480,480,10,180,345
10,4,390,510,10,180,315
11,4,495,450,10,180,297
12,2,75,780,10,180,585
13,2,480,330,10,180,360
14,4,375,405,10,180,287
15,2,210,570,10,180,480
16,2,300,450,10,180,420
17,2,345,450,10,180,420
TravelTime Matrix
i,j,time
11,14,9
11,15,8
11,16,10
11,17,7
12,0,13
12,1,8
12,2,17
12,3,13
12,4,16
12,5,7
12,6,6
12,7,6
12,8,11
12,9,49
12,10,13
12,11,8
12,12,0
12,13,7
12,14,0
12,15,15
12,16,9
12,17,17
13,0,15
13,1,12
13,2,16
13,3,11
13,4,16
13,5,11
13,6,2
13,7,10
13,8,10
13,9,49
13,10,11
13,11,12
13,12,7
13,13,0
13,14,8
13,15,16
13,16,4
13,17,15
14,0,13
14,1,9
14,2,17
14,3,13
14,4,18
14,5,8
14,6,7
14,7,6
14,8,12
14,9,49
14,10,13
14,11,9
14,12,0
14,13,8
14,14,0
14,15,15
14,16,8
14,17,17
15,0,0
15,1,8
15,2,8
15,3,9
15,4,7
15,5,13
15,6,15
15,7,8
15,8,10
15,9,43
15,10,9
15,11,8
15,12,15
15,13,16
15,14,15
15,15,0
15,16,13
15,17,5
16,0,13
16,1,10
16,2,14
16,3,8
16,4,14
16,5,7
16,6,4
16,7,11
16,8,7
16,9,47
16,10,8
16,11,10
16,12,9
16,13,4
16,14,8
16,15,13
16,16,0
16,17,15
17,0,6
17,1,7
17,2,6
17,3,8
17,4,2
17,5,13
17,6,15
17,7,11
17,8,9
17,9,41
17,10,8
17,11,7
17,12,17
17,13,15
17,14,17
17,15,5
17,16,15
17,17,0
Distance Matrix
i,j,Distance
0,0,0
0,1,3.6
0,2,1.85
0,3,4.84
0,4,2.42
0,5,6.09
0,6,8.5
0,7,5.9
0,8,5.09
0,9,43.48
0,10,4.84
0,11,3.6
0,12,7.26
0,13,8.58
0,14,7.17
0,15,0.32
0,16,7.28
0,17,1.79
1,0,3.6
1,1,0
1,2,9.49
1,3,3.16
1,4,5.21
1,5,3.06
1,6,6.98
1,7,2.83
1,8,3.34
1,9,53.57
1,10,3.16
1,11,0
1,12,4.08
1,13,7.08
1,14,4.1
1,15,4.67
1,16,5.96
1,17,4.04
2,0,1.85
2,1,9.49
2,2,0
2,3,10.79
2,4,3.42
2,5,11.06
2,6,18.08
2,7,8.23
2,8,10.98
2,9,51.76
2,10,10.79
2,11,8.92
2,12,10.22
2,13,17.62
2,14,10.23
2,15,2.92
2,16,17.07
2,17,3.98
3,0,4.84
3,1,3.16
3,2,10.79
3,3,0
3,4,8.1
3,5,4.06
3,6,4.48
3,7,5.77
3,8,0.76
3,9,55.16
3,10,0
3,11,2.95
3,12,5.06
3,13,4.51
3,14,5.21
3,15,8.25
3,16,3.39
3,17,6.92
4,0,2.42
4,1,5.21
4,2,3.42
4,3,8.1
4,4,0
4,5,11.45
4,6,16.47
4,7,8.04
4,8,8.37
4,9,49.4
4,10,11.19
4,11,5.21
4,12,12.87
4,13,16
4,14,9.32
4,15,3.56
4,16,15.46
4,17,1.18
5,0,6.09
5,1,3.06
5,2,11.06
5,3,4.06
5,4,11.45
5,5,0
5,6,4.68
5,7,1.37
5,8,3.44
5,9,55.6
5,10,2.69
5,11,3.01
5,12,1.84
5,13,5.06
5,14,2
5,15,7.41
5,16,2.22
5,17,7.17
6,0,8.5
6,1,6.98
6,2,18.08
6,3,4.48
6,4,16.47
6,5,4.68
6,6,0
6,7,4.42
6,8,4.93
6,9,59.34
6,10,4.17
6,11,6.21
6,12,2.73
6,13,0.37
6,14,2.89
6,15,10.52
6,16,1.76
6,17,11.09
7,0,5.9
7,1,2.83
7,2,8.23
7,3,5.77
7,4,8.04
7,5,1.37
7,6,4.42
7,7,0
7,8,6.71
7,9,56.92
7,10,3.58
7,11,3.54
7,12,2.09
7,13,5.38
7,14,2.11
7,15,6.33
7,16,3.81
7,17,7.92
8,0,5.09
8,1,3.34
8,2,10.98
8,3,0.76
8,4,8.37
8,5,3.44
8,6,4.93
8,7,6.71
8,8,0
8,9,55.62
8,10,0.89
8,11,3.4
8,12,5.52
8,13,4.97
8,14,5.68
8,15,8.54
8,16,3.86
8,17,7.21
9,0,43.48
9,1,53.57
9,2,51.76
9,3,55.16
9,4,49.4
9,5,55.6
9,6,59.34
9,7,56.92
9,8,55.62
9,9,0
9,10,56.21
9,11,54.33
9,12,57.89
9,13,58.05
9,14,58.04
9,15,54.28
9,16,57.5
9,17,51.6
10,0,4.84
10,1,3.16
10,2,10.79
10,3,0
10,4,11.19
10,5,2.69
10,6,4.17
10,7,3.58
10,8,0.89
10,9,56.21
10,10,0
10,11,2.95
10,12,5.06
10,13,4.51
10,14,5.21
10,15,8.25
10,16,3.39
10,17,6.92
11,0,3.6
11,1,0
11,2,8.92
11,3,2.95
11,4,5.21
11,5,3.01
11,6,6.21
11,7,3.54
11,8,3.4
11,9,54.33
11,10,2.95
11,11,0
11,12,4.08
11,13,7.08
11,14,4.1
11,15,4.67
11,16,5.96
11,17,4.04
12,0,7.26
12,1,4.08
12,2,10.22
12,3,5.06
12,4,12.87
12,5,1.84
12,6,2.73
12,7,2.09
12,8,5.52
12,9,57.89
12,10,5.06
12,11,4.08
12,12,0
12,13,4.37
12,14,0.15
12,15,8.35
12,16,4.24
12,17,8.06
13,0,8.58
13,1,7.08
13,2,17.62
13,3,4.51
13,4,16
13,5,5.06
13,6,0.37
13,7,5.38
13,8,4.97
13,9,58.05
13,10,4.51
13,11,7.08
13,12,4.37
13,13,0
13,14,3.38
13,15,12.45
13,16,1.78
13,17,11.12
14,0,7.17
14,1,4.1
14,2,10.23
14,3,5.21
14,4,9.32
14,5,2
14,6,2.89
14,7,2.11
14,8,5.68
14,9,58.04
14,10,5.21
14,11,4.1
14,12,0.15
14,13,3.38
14,14,0
14,15,8.2
14,16,4.08
14,17,7.91
15,0,0.32
15,1,4.67
15,2,2.92
15,3,8.25
15,4,3.56
15,5,7.41
15,6,10.52
15,7,6.33
15,8,8.54
15,9,54.28
15,10,8.25
15,11,4.67
15,12,8.35
15,13,12.45
15,14,8.2
15,15,0
15,16,17.26
15,17,2.53
16,0,7.28
16,1,5.96
16,2,17.07
16,3,3.39
16,4,15.46
16,5,2.22
16,6,1.76
16,7,3.81
16,8,3.86
16,9,57.5
16,10,3.39
16,11,5.96
16,12,4.24
16,13,1.78
16,14,4.08
16,15,17.26
16,16,0
16,17,9.85
17,0,1.79
17,1,4.04
17,2,3.98
17,3,6.92
17,4,1.18
17,5,7.17
17,6,11.09
17,7,7.92
17,8,7.21
17,9,51.6
17,10,6.92
17,11,4.04
17,12,8.06
17,13,11.12
17,14,7.91
17,15,2.53
17,16,9.85
17,17,0
