id,I28
SCCs,17
m,10
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,3,465,420,10,180,330
2,1,390,90,10,180,300
3,1,375,90,10,180,300
4,1,360,90,10,180,300
5,1,525,90,10,180,300
6,1,360,90,10,180,300
7,1,360,90,10,180,300
8,1,360,90,10,180,300
9,1,525,90,10,180,300
10,1,360,90,10,180,300
11,1,360,90,10,180,300
12,1,360,90,10,180,300
13,1,690,90,10,180,300
14,1,630,90,10,180,300
15,2,315,510,10,180,450
16,4,300,615,10,180,340
17,2,150,690,10,180,540
TravelTime Matrix
i,j,time
15,7,109.91
15,8,129.09
15,9,27.88
15,10,94.6
15,11,130.87
15,12,151.6
15,13,43.67
15,14,119.52
15,15,0
15,16,31.91
15,17,85.03
16,0,15.29
16,1,17.65
16,2,168.01
16,3,167.79
16,4,110.19
16,5,44.46
16,6,178.71
16,7,135.07
16,8,154.26
16,9,32.11
16,10,119.76
16,11,156.03
16,12,183.32
16,13,75.39
16,14,144.67
16,15,31.91
16,16,0
16,17,116.79
17,0,86.86
17,1,101.94
17,2,51.67
17,3,88.67
17,4,92.87
17,5,126.01
17,6,62.38
17,7,83.87
17,8,75.14
17,9,113.67
17,10,116.81
17,11,76.91
17,12,67
17,13,60.79
17,14,60.91
17,15,85.03
17,16,116.79
17,17,0
